State_Business_ID,Entity_Type,Industry_Sector,NAICS_Code,Business_Status,City,County,State,Owner_Title,Zoning_Classification,Tax_Lien_Flag,Number_of_Employees_Binned,Owner_Age_Binned,Company_Age_Binned,Annual_Revenue_Binned
PA-BUS-9406983,Corp.,Wholesale Trade,440673,Active,Harrisburg,Dauphin,PA,Owner,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-7099530,PC,Retail Trade,807620,Active,Pittsburgh,Allegheny,PA,Principal,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-4187908,LLP,Insurance,177871,Active,Reading,Berks,PA,Principal,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-8426297,Inc.,Insurance,784953,Active,King of Prussia,Montgomery,PA,President,Industrial,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-9180242,Corp.,Legal Services,117943,Active,Scranton,Lackawanna,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6431882,Corp.,Professional Services,275094,Active,Hanover,York,PA,Owner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-1927904,Corp.,Entertainment & Recreation,539755,Active,Allentown,Lehigh,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-9047740,Corp.,Manufacturing,732852,Revoked,Scranton,Lackawanna,PA,CEO,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8352802,LLC,Food Service & Restaurant,368248,Pending,Lancaster,Lancaster,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8169423,LLC,Construction,526669,Active,Kutztown,Berks,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-2226138,Sole Proprietorship,Accounting & Tax,562990,Active,Reading,Berks,PA,President,Mixed-Use,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-6949960,Inc.,Entertainment & Recreation,715987,Revoked,Bethlehem,Northampton,PA,Managing Partner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-3065444,Corp.,Food Service & Restaurant,504445,Dissolved,Levittown,Bucks,PA,Owner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-9019156,LLC,Wholesale Trade,378795,Active,Lancaster,Lancaster,PA,Managing Partner,Agricultural,No,Small (<250),Young (<35),Mature Stage (20+ years),500K-5M
PA-BUS-3975579,DBA,Professional Services,703114,Active,Philadelphia,Philadelphia,PA,Principal,Commercial,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-5449004,Inc.,Real Estate,763233,Active,Media,Delaware,PA,CEO,Mixed-Use,Yes,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6224943,LLC,Wholesale Trade,610487,Active,Philadelphia,Philadelphia,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-6513425,Inc.,Auto Services,595708,Active,West Chester,Chester,PA,Principal,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-4604353,Corp.,Auto Services,586317,Active,Scranton,Lackawanna,PA,CEO,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-3017925,LLC,Technology & IT,688314,Active,Erie,Erie,PA,President,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-3663379,LLC,Accounting & Tax,216112,Dissolved,York,York,PA,Director,Industrial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-1993584,LLP,Manufacturing,541419,Revoked,Scranton,Lackawanna,PA,Principal,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-9734558,Inc.,Transportation & Logistics,437385,Revoked,Lancaster,Lancaster,PA,Principal,Agricultural,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-4768723,LLP,Insurance,659346,Dissolved,Hanover,York,PA,Managing Partner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-5458615,Inc.,Professional Services,220125,Dissolved,Allentown,Lehigh,PA,Owner,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-1625391,Corp.,Auto Services,529169,Active,Allentown,Lehigh,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-6400269,LLC,Entertainment & Recreation,531925,Dissolved,Wilkes-Barre,Luzerne,PA,Owner,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),>5M
PA-BUS-3827685,Corp.,Transportation & Logistics,449548,Revoked,Philadelphia,Philadelphia,PA,CEO,Commercial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-6433071,LLC,Cleaning & Maintenance,346855,Revoked,Reading,Berks,PA,Director,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-7704457,LLP,Transportation & Logistics,768834,Active,Pittsburgh,Allegheny,PA,President,Agricultural,No,Small (<250),Young (<35),Early Stage (<20 years),<500K
PA-BUS-4757489,LLC,Transportation & Logistics,598998,Dissolved,Media,Delaware,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-3237355,LLC,Technology & IT,526604,Dissolved,Allentown,Lehigh,PA,President,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-3004878,DBA,Healthcare & Medical,459017,Dissolved,Media,Delaware,PA,Director,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-9789034,Corp.,Healthcare & Medical,381399,Active,Media,Delaware,PA,President,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),>5M
PA-BUS-7277502,DBA,Accounting & Tax,712976,Active,Philadelphia,Philadelphia,PA,CEO,Industrial,No,Small (<250),Young (<35),Mature Stage (20+ years),500K-5M
PA-BUS-2098296,Corp.,Insurance,465889,Active,Reading,Berks,PA,Managing Partner,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-5915038,PC,Legal Services,767874,Dissolved,Norristown,Montgomery,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-1792011,Inc.,Cleaning & Maintenance,428771,Active,Hanover,York,PA,President,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-5033031,LLP,Accounting & Tax,802744,Active,Harrisburg,Dauphin,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-5251774,Inc.,Cleaning & Maintenance,740391,Active,Coatesville,Chester,PA,Principal,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),>5M
PA-BUS-7625427,Corp.,Professional Services,323054,Dissolved,Media,Delaware,PA,Principal,Commercial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-1734135,LLC,Transportation & Logistics,707541,Active,Pittsburgh,Allegheny,PA,Managing Partner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-6327664,Inc.,Healthcare & Medical,170578,Active,Pittsburgh,Allegheny,PA,President,Commercial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-5739034,LLC,Healthcare & Medical,757084,Active,Kutztown,Berks,PA,CEO,Residential,No,Small (<250),Young (<35),Mature Stage (20+ years),500K-5M
PA-BUS-4808186,Sole Proprietorship,Agriculture,532879,Active,Harrisburg,Dauphin,PA,Managing Partner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-7288379,Corp.,Agriculture,786392,Revoked,Lancaster,Lancaster,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-7742368,PC,Cleaning & Maintenance,714113,Active,Pittsburgh,Allegheny,PA,CEO,Industrial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),>5M
PA-BUS-7089123,Corp.,Cleaning & Maintenance,764615,Active,King of Prussia,Montgomery,PA,President,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),>5M
PA-BUS-3274969,LP,Technology & IT,510564,Revoked,West Chester,Chester,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-1267689,Inc.,Retail Trade,763179,Active,Wilkes-Barre,Luzerne,PA,Principal,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-1322326,PC,Retail Trade,428524,Active,Doylestown,Bucks,PA,Owner,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-5076209,LLC,Accounting & Tax,189139,Active,Lancaster,Lancaster,PA,Owner,Industrial,No,Large (>=250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-1064443,Corp.,Education,565111,Pending,King of Prussia,Montgomery,PA,Director,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-4157447,Inc.,Real Estate,307244,Active,Lancaster,Lancaster,PA,President,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-2341365,Inc.,Financial Services,578703,Active,Lancaster,Lancaster,PA,Owner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8791214,Inc.,Education,585251,Active,West Chester,Chester,PA,CEO,Industrial,No,Small (<250),Young (<35),Early Stage (<20 years),<500K
PA-BUS-7580559,Sole Proprietorship,Healthcare & Medical,277116,Active,Philadelphia,Philadelphia,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-6680438,Inc.,Technology & IT,772194,Dissolved,King of Prussia,Montgomery,PA,CEO,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-6554277,LLC,Personal Services,314929,Active,Pittsburgh,Allegheny,PA,CEO,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-7103256,Inc.,Legal Services,172998,Active,King of Prussia,Montgomery,PA,Managing Partner,Residential,No,Small (<250),Young (<35),Early Stage (<20 years),<500K
PA-BUS-8096616,Inc.,Manufacturing,122554,Active,West Chester,Chester,PA,Director,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),>5M
PA-BUS-1879520,LLC,Healthcare & Medical,453509,Pending,Philadelphia,Philadelphia,PA,Managing Partner,Agricultural,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-9770802,Corp.,Wholesale Trade,282428,Active,Erie,Erie,PA,President,Industrial,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-4783595,Inc.,Insurance,613056,Revoked,West Chester,Chester,PA,CEO,Commercial,Yes,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-3754469,LP,Wholesale Trade,527584,Revoked,Pittsburgh,Allegheny,PA,Director,Industrial,No,Large (>=250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2790625,Inc.,Technology & IT,326679,Active,Erie,Erie,PA,Managing Partner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-9249059,LLC,Food Service & Restaurant,614610,Active,Media,Delaware,PA,Owner,Agricultural,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-3014549,Corp.,Retail Trade,427832,Active,Philadelphia,Philadelphia,PA,Principal,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-9345380,LLC,Construction,564606,Active,Bethlehem,Northampton,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-7162223,Corp.,Real Estate,589530,Pending,Philadelphia,Philadelphia,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),>5M
PA-BUS-6583525,Corp.,Personal Services,487201,Pending,Coatesville,Chester,PA,Principal,Residential,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),500K-5M
PA-BUS-4804776,Inc.,Insurance,462277,Active,Pittsburgh,Allegheny,PA,President,Residential,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-6081107,Inc.,Entertainment & Recreation,330518,Pending,Kutztown,Berks,PA,Principal,Agricultural,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-9243207,LLC,Construction,144159,Dissolved,Philadelphia,Philadelphia,PA,Owner,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-5049661,LP,Entertainment & Recreation,744039,Active,Media,Delaware,PA,Managing Partner,Residential,Yes,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-8578703,LLC,Healthcare & Medical,418751,Active,Scranton,Lackawanna,PA,Managing Partner,Industrial,Yes,Small (<250),Young (<35),Early Stage (<20 years),<500K
PA-BUS-3335477,LLC,Legal Services,249520,Active,Lititz,Lancaster,PA,CEO,Agricultural,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-4133828,Corp.,Professional Services,808036,Revoked,Coatesville,Chester,PA,Principal,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-6089270,Inc.,Professional Services,254829,Active,Kutztown,Berks,PA,President,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-1719891,LLC,Wholesale Trade,447165,Active,Norristown,Montgomery,PA,Director,Residential,Yes,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-5711603,Inc.,Accounting & Tax,598180,Active,Lancaster,Lancaster,PA,Director,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-5016713,Inc.,Auto Services,704619,Pending,West Chester,Chester,PA,Principal,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-5144427,LLC,Entertainment & Recreation,326837,Active,West Chester,Chester,PA,Principal,Agricultural,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-9575143,Inc.,Manufacturing,706128,Active,Bethlehem,Northampton,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-1165357,Inc.,Education,227954,Active,Bethlehem,Northampton,PA,President,Mixed-Use,No,Small (<250),Young (<35),Mature Stage (20+ years),500K-5M
PA-BUS-5130432,Corp.,Auto Services,537253,Dissolved,Levittown,Bucks,PA,CEO,Industrial,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-8325776,LLC,Financial Services,660496,Active,Pittsburgh,Allegheny,PA,Managing Partner,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-7524153,LLC,Construction,710535,Active,Allentown,Lehigh,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2509488,LLC,Transportation & Logistics,277575,Active,Lititz,Lancaster,PA,Director,Commercial,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-1288262,LLC,Healthcare & Medical,315986,Active,Doylestown,Bucks,PA,President,Agricultural,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-3615725,Inc.,Personal Services,249827,Active,Doylestown,Bucks,PA,Owner,Industrial,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),>5M
PA-BUS-5218292,Corp.,Transportation & Logistics,660008,Active,Doylestown,Bucks,PA,Principal,Residential,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-3387655,LLP,Professional Services,128283,Dissolved,Philadelphia,Philadelphia,PA,President,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-1679886,PC,Agriculture,613858,Active,Lancaster,Lancaster,PA,Managing Partner,Commercial,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-8355095,Corp.,Insurance,622308,Dissolved,Reading,Berks,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-4263058,LLC,Healthcare & Medical,549808,Active,Scranton,Lackawanna,PA,President,Agricultural,No,Small (<250),Young (<35),Early Stage (<20 years),<500K
PA-BUS-6546545,Sole Proprietorship,Technology & IT,773311,Pending,Kutztown,Berks,PA,President,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),>5M
PA-BUS-3571246,LLC,Retail Trade,214496,Active,Media,Delaware,PA,President,Agricultural,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-7800102,LLC,Cleaning & Maintenance,562108,Revoked,Lititz,Lancaster,PA,President,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-6993668,LLP,Professional Services,809522,Revoked,West Chester,Chester,PA,Principal,Agricultural,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-9638445,Sole Proprietorship,Cleaning & Maintenance,211899,Pending,West Chester,Chester,PA,Director,Residential,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-2974982,Corp.,Agriculture,265963,Revoked,Philadelphia,Philadelphia,PA,Owner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-4129999,Inc.,Legal Services,632899,Active,Erie,Erie,PA,President,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),>5M
PA-BUS-8010698,Corp.,Auto Services,151426,Revoked,York,York,PA,CEO,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-1746815,Inc.,Accounting & Tax,409414,Active,Allentown,Lehigh,PA,Director,Mixed-Use,Yes,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-4721202,PC,Cleaning & Maintenance,582182,Pending,Philadelphia,Philadelphia,PA,President,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2336756,LLC,Financial Services,455855,Active,Philadelphia,Philadelphia,PA,Managing Partner,Industrial,No,Small (<250),Young (<35),Early Stage (<20 years),>5M
PA-BUS-8571416,Inc.,Entertainment & Recreation,465035,Active,Pittsburgh,Allegheny,PA,Principal,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),>5M
PA-BUS-4257639,LP,Personal Services,613053,Active,Reading,Berks,PA,President,Mixed-Use,Yes,Large (>=250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-6962982,LLC,Cleaning & Maintenance,129063,Active,Pittsburgh,Allegheny,PA,Director,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),500K-5M
PA-BUS-3297127,Inc.,Insurance,381937,Dissolved,West Chester,Chester,PA,Principal,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6340384,Inc.,Financial Services,240847,Active,Lititz,Lancaster,PA,Director,Industrial,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-1067267,LP,Construction,223128,Active,King of Prussia,Montgomery,PA,Owner,Residential,Yes,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),500K-5M
PA-BUS-9265342,PC,Transportation & Logistics,685272,Active,Kutztown,Berks,PA,Principal,Industrial,Yes,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-4093012,LLC,Wholesale Trade,783059,Active,Harrisburg,Dauphin,PA,Principal,Agricultural,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-7897563,Corp.,Wholesale Trade,508231,Active,Pittsburgh,Allegheny,PA,President,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-5755437,LLC,Transportation & Logistics,404006,Active,Norristown,Montgomery,PA,President,Industrial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-7221563,LLC,Transportation & Logistics,658496,Active,Scranton,Lackawanna,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2819761,LLC,Professional Services,432328,Active,Reading,Berks,PA,CEO,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),>5M
PA-BUS-4880644,LLC,Legal Services,541797,Dissolved,Norristown,Montgomery,PA,Director,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2568840,Corp.,Transportation & Logistics,373586,Active,Erie,Erie,PA,President,Agricultural,No,Small (<250),Senior (55+),Early Stage (<20 years),>5M
PA-BUS-1451296,LLC,Retail Trade,213357,Active,Philadelphia,Philadelphia,PA,Owner,Agricultural,Yes,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-1127889,LLC,Real Estate,290809,Pending,Pittsburgh,Allegheny,PA,President,Mixed-Use,Yes,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8128409,LLC,Entertainment & Recreation,291606,Active,Lititz,Lancaster,PA,Director,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-4888965,LLC,Financial Services,243678,Active,West Chester,Chester,PA,Principal,Industrial,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-2344809,LLC,Accounting & Tax,448586,Active,Kutztown,Berks,PA,CEO,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-7359320,LP,Retail Trade,231861,Active,Philadelphia,Philadelphia,PA,President,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-1046902,Inc.,Legal Services,805306,Active,Pittsburgh,Allegheny,PA,Owner,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-1660619,LLC,Healthcare & Medical,766487,Revoked,Bethlehem,Northampton,PA,CEO,Residential,Yes,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-9362556,Inc.,Personal Services,372221,Active,Lititz,Lancaster,PA,Managing Partner,Agricultural,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-8229118,LLC,Construction,335373,Active,Reading,Berks,PA,Principal,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6162843,DBA,Wholesale Trade,542275,Active,York,York,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-4626117,LLC,Insurance,330196,Active,Reading,Berks,PA,Managing Partner,Mixed-Use,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-7794680,Corp.,Healthcare & Medical,786422,Pending,Wilkes-Barre,Luzerne,PA,Director,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-2879293,Inc.,Education,687554,Revoked,Philadelphia,Philadelphia,PA,President,Industrial,No,Large (>=250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-4789035,LLC,Financial Services,353697,Active,King of Prussia,Montgomery,PA,CEO,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-7154486,LLC,Technology & IT,772214,Pending,Wilkes-Barre,Luzerne,PA,President,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-4571088,Inc.,Professional Services,215910,Active,Hanover,York,PA,Owner,Industrial,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-1083198,Inc.,Entertainment & Recreation,664558,Pending,Coatesville,Chester,PA,CEO,Residential,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-1264631,LLC,Food Service & Restaurant,586228,Active,King of Prussia,Montgomery,PA,Managing Partner,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-5939338,LP,Auto Services,133416,Pending,Scranton,Lackawanna,PA,CEO,Agricultural,No,Small (<250),Young (<35),Early Stage (<20 years),500K-5M
PA-BUS-3917803,LLC,Transportation & Logistics,337504,Active,Norristown,Montgomery,PA,Director,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Early Stage (<20 years),<500K
PA-BUS-8283754,Corp.,Accounting & Tax,804133,Revoked,Reading,Berks,PA,Director,Mixed-Use,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),>5M
PA-BUS-9540127,PC,Real Estate,396219,Active,Wilkes-Barre,Luzerne,PA,Director,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),500K-5M
PA-BUS-2343929,Inc.,Wholesale Trade,418379,Revoked,Scranton,Lackawanna,PA,Principal,Agricultural,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-7906275,LLC,Auto Services,247455,Dissolved,Philadelphia,Philadelphia,PA,President,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-2823906,PC,Technology & IT,600997,Active,Philadelphia,Philadelphia,PA,CEO,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),>5M
PA-BUS-5439229,Corp.,Retail Trade,732448,Dissolved,Norristown,Montgomery,PA,Director,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
